layer_index,from_node,to_node,weight,type
4,10,2,-0.07829565,weight
4,10,3,-1.0895916,weight
4,10,4,0.5720913,weight
4,10,5,-0.29138824,weight
4,10,6,-0.14384727,weight
4,10,7,-0.019924574,weight
4,10,8,0.090591975,weight
4,10,9,0.07262728,weight
4,10,10,-0.17212515,weight
4,10,11,-0.17284901,weight
4,11,1,1.3909893,weight
4,11,2,0.5822826,weight
4,11,3,0.0026559308,weight
4,11,4,-1.2341058,weight
4,11,5,-0.86955285,weight
4,11,6,-0.25007147,weight
4,11,7,-0.04378907,weight
4,11,8,-2.166409,weight
4,11,9,-2.7580395,weight
4,11,10,0.95841813,weight
4,11,11,0.8825902,weight
4,12,1,0.17372385,weight
4,12,2,-0.029626358,weight
4,12,3,-0.10705539,weight
4,12,4,-1.0345795,weight
4,12,5,-1.154586,weight
4,12,6,-0.922741,weight
4,12,7,1.6532166,weight
4,12,8,-0.18204588,weight
4,12,9,-0.089790024,weight
