layer_index,layer_name,from_node,to_node,weight
1,input_to_hidden1,10,8,-0.0006125463987700641
1,input_to_hidden1,10,9,-0.2815626263618469
1,input_to_hidden1,10,10,0.04973772540688515
1,input_to_hidden1,10,11,-0.21388030052185059
1,input_to_hidden1,10,12,0.08333723992109299
1,input_to_hidden1,11,1,-0.247073695063591
1,input_to_hidden1,11,2,0.15849995613098145
1,input_to_hidden1,11,3,0.11085420846939087
1,input_to_hidden1,11,4,-0.011366567574441433
1,input_to_hidden1,11,5,-0.31679567694664
1,input_to_hidden1,11,6,0.038519226014614105
1,input_to_hidden1,11,7,-0.19351527094841003
1,input_to_hidden1,11,8,0.040431614965200424
1,input_to_hidden1,11,9,-0.11173766851425171
1,input_to_hidden1,11,10,0.2481730729341507
1,input_to_hidden1,11,11,0.056901659816503525
1,input_to_hidden1,11,12,-0.5935905575752258
2,hidden1_to_hidden2,1,1,1.4947524070739746
2,hidden1_to_hidden2,2,1,-0.31894955039024353
2,hidden1_to_hidden2,3,1,1.0735132694244385
2,hidden1_to_hidden2,4,1,-1.5296913385391235
2,hidden1_to_hidden2,5,1,-0.1331917643547058
2,hidden1_to_hidden2,6,1,1.0966401100158691
2,hidden1_to_hidden2,7,1,1.1652426719665527
2,hidden1_to_hidden2,8,1,-1.4788050651550293
2,hidden1_to_hidden2,9,1,-0.32996228337287903
2,hidden1_to_hidden2,10,1,-1.6206345558166504
2,hidden1_to_hidden2,11,1,-1.9822518825531006
2,hidden1_to_hidden2,12,1,0.38295090198516846
3,hidden2_to_hidden3,1,1,0.4945161044597626
3,hidden2_to_hidden3,1,2,0.022884033620357513
3,hidden2_to_hidden3,1,3,0.4361877739429474
3,hidden2_to_hidden3,1,4,-0.27214232087135315
3,hidden2_to_hidden3,1,5,0.08307912945747375
3,hidden2_to_hidden3,1,6,0.4340816140174866
3,hidden2_to_hidden3,1,7,0.47207093238830566
3,hidden2_to_hidden3,1,8,-0.3375917375087738
3,hidden2_to_hidden3,1,9,0.03638722002506256
3,hidden2_to_hidden3,1,10,-0.3492783308029175
3,hidden2_to_hidden3,1,11,-0.6353126764297485
3,hidden2_to_hidden3,1,12,0.13105159997940063
4,hidden3_to_output,1,1,0.19474536180496216
4,hidden3_to_output,1,2,0.07073257863521576
4,hidden3_to_output,1,3,0.18083758652210236
4,hidden3_to_output,1,4,0.013261957094073296
4,hidden3_to_output,1,5,0.02746831811964512
4,hidden3_to_output,1,6,0.12896913290023804
4,hidden3_to_output,1,7,0.19610673189163208
4,hidden3_to_output,1,8,-0.04244145378470421
4,hidden3_to_output,1,9,0.04338174685835838
4,hidden3_to_output,1,10,-0.028836632147431374
4,hidden3_to_output,1,11,-0.045506756752729416
4,hidden3_to_output,2,1,0.1043088510632515
4,hidden3_to_output,2,2,0.09909985959529877
4,hidden3_to_output,2,3,0.10787176340818405
4,hidden3_to_output,2,4,0.039562687277793884
4,hidden3_to_output,2,5,0.0784151628613472
4,hidden3_to_output,2,6,0.003427366726100445
4,hidden3_to_output,2,7,0.10061486065387726
4,hidden3_to_output,2,8,0.10022290796041489
4,hidden3_to_output,2,9,0.10868148505687714
4,hidden3_to_output,2,10,0.14824946224689484
4,hidden3_to_output,2,11,-0.029660701751708984
4,hidden3_to_output,3,1,0.08362666517496109
4,hidden3_to_output,3,2,-0.028711047023534775
4,hidden3_to_output,3,3,0.21865980327129364
4,hidden3_to_output,3,4,0.1509663313627243
4,hidden3_to_output,3,5,0.07916034758090973
4,hidden3_to_output,3,6,0.024553218856453896
4,hidden3_to_output,3,7,-0.03465300798416138
4,hidden3_to_output,3,8,0.06630902737379074
4,hidden3_to_output,3,9,0.1329333782196045
4,hidden3_to_output,3,10,0.18091519176959991
4,hidden3_to_output,3,11,0.05607355386018753
4,hidden3_to_output,4,1,0.1478627324104309
4,hidden3_to_output,4,2,0.0201242845505476
4,hidden3_to_output,4,3,0.14784930646419525
4,hidden3_to_output,4,4,0.17756514251232147
4,hidden3_to_output,4,5,0.08381923288106918
4,hidden3_to_output,4,6,0.1532227247953415
4,hidden3_to_output,4,7,0.1098036989569664
4,hidden3_to_output,4,8,0.10516912490129471
4,hidden3_to_output,4,9,0.05816596746444702
4,hidden3_to_output,4,10,0.02713913284242153
4,hidden3_to_output,4,11,0.12216035276651382
4,hidden3_to_output,5,1,0.053502533584833145
4,hidden3_to_output,5,2,0.10030537843704224
4,hidden3_to_output,5,3,0.20895245671272278
4,hidden3_to_output,5,4,0.04566061496734619
4,hidden3_to_output,5,5,0.0010534055763855577
4,hidden3_to_output,5,6,0.05055052042007446
4,hidden3_to_output,5,7,0.08346708118915558
4,hidden3_to_output,5,8,0.0546308271586895
4,hidden3_to_output,5,9,0.01538835559040308
4,hidden3_to_output,5,10,-0.035496246069669724
4,hidden3_to_output,5,11,0.1602415144443512
4,hidden3_to_output,6,1,0.03334178403019905
4,hidden3_to_output,6,2,0.2170354574918747
4,hidden3_to_output,6,3,0.1532524675130844
4,hidden3_to_output,6,4,0.008559918962419033
4,hidden3_to_output,6,5,0.023126276209950447
4,hidden3_to_output,6,6,0.02657911740243435
4,hidden3_to_output,6,7,0.06535676121711731
4,hidden3_to_output,6,8,0.14772334694862366
4,hidden3_to_output,6,9,0.12023471295833588
4,hidden3_to_output,6,10,-0.0003827991895377636
4,hidden3_to_output,6,11,0.13148483633995056
4,hidden3_to_output,7,1,0.07577385753393173
4,hidden3_to_output,7,2,0.07667519152164459
4,hidden3_to_output,7,3,0.16465036571025848
4,hidden3_to_output,7,4,0.0700913816690445
4,hidden3_to_output,7,5,0.17605097591876984
4,hidden3_to_output,7,6,0.19234217703342438
4,hidden3_to_output,7,7,0.12769702076911926
4,hidden3_to_output,7,8,0.0708785429596901
4,hidden3_to_output,7,9,0.13536550104618073
4,hidden3_to_output,7,10,0.055689115077257156
4,hidden3_to_output,7,11,0.0482792966067791
4,hidden3_to_output,8,1,0.09659535437822342
4,hidden3_to_output,8,2,0.14523467421531677
4,hidden3_to_output,8,3,0.05292104557156563
4,hidden3_to_output,8,4,0.007322816178202629
4,hidden3_to_output,8,5,-0.004990831483155489
4,hidden3_to_output,8,6,0.04349815100431442
4,hidden3_to_output,8,7,0.057632725685834885
4,hidden3_to_output,8,8,0.1384950578212738
4,hidden3_to_output,8,9,0.05752398446202278
4,hidden3_to_output,8,10,0.07116643339395523
4,hidden3_to_output,8,11,0.07373987883329391
4,hidden3_to_output,9,1,0.027944331988692284
4,hidden3_to_output,9,2,0.020171834155917168
4,hidden3_to_output,9,3,0.09053650498390198
4,hidden3_to_output,9,4,0.1396651566028595
4,hidden3_to_output,9,5,0.03792459890246391
4,hidden3_to_output,9,6,0.08954429626464844
4,hidden3_to_output,9,7,0.1696811467409134
4,hidden3_to_output,9,8,0.060704559087753296
4,hidden3_to_output,9,9,-0.05359962210059166
4,hidden3_to_output,9,10,0.061529386788606644
4,hidden3_to_output,9,11,0.17158550024032593
